ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:21748
2403648,2012-10-21 16:47:57,236B - Easy Number Challenge,GNU C++,Accepted,453 ms,1500 KB
2401083,2012-10-21 12:29:05,236B - Easy Number Challenge,GNU C++,Time limit exceeded on test 67,2000 ms,0 KB
2399571,2012-10-21 12:00:37,236C - LCM Challenge,GNU C++,Hacked,31 ms,0 KB
2396795,2012-10-21 11:22:07,236A - Boy or Girl,GNU C++,Accepted,31 ms,0 KB
2378297,2012-10-17 13:36:23,234B - Reading,GNU C++,Runtime error on test 6,15 ms,200 KB
2378285,2012-10-17 13:34:01,234B - Reading,GNU C++,Runtime error on test 6,15 ms,200 KB
2378208,2012-10-17 13:20:56,234B - Reading,GNU C++,Runtime error on test 1,31 ms,262100 KB
2351678,2012-10-12 16:57:37,233B - Non-square Equation,GNU C++,Accepted,31 ms,0 KB
2343130,2012-10-11 20:12:39,233B - Non-square Equation,GNU C++,Wrong answer on test 12,15 ms,0 KB
2340358,2012-10-11 19:38:05,233A - Perfect Permutation,GNU C++,Accepted,31 ms,0 KB
2280910,2012-10-01 20:26:34,230B - T-primes,GNU C++,Accepted,281 ms,1800 KB
2276704,2012-10-01 19:51:58,230A - Dragons,GNU C++,Accepted,46 ms,0 KB
2275385,2012-10-01 19:43:51,230A - Dragons,GNU C++,Wrong answer on pretest 9,31 ms,0 KB
2275161,2012-10-01 19:42:35,230A - Dragons,GNU C++,Wrong answer on pretest 9,15 ms,0 KB
2271330,2012-09-30 18:39:15,228B - Two Tables,GNU C++,Accepted,62 ms,0 KB
2257029,2012-09-27 19:35:24,228A - Is your horseshoe on the other hoof?,GNU C++,Accepted,31 ms,0 KB
2253664,2012-09-26 20:30:18,227C - Flying Saucer Segments,GNU C++,Accepted,31 ms,0 KB
2252907,2012-09-26 16:44:25,227C - Flying Saucer Segments,GNU C++,Wrong answer on test 47,31 ms,0 KB
2252898,2012-09-26 16:42:11,227C - Flying Saucer Segments,GNU C++,Wrong answer on test 6,31 ms,0 KB
2252766,2012-09-26 16:00:58,227C - Flying Saucer Segments,GNU C++,Time limit exceeded on test 6,2000 ms,0 KB
2252735,2012-09-26 15:48:48,227C - Flying Saucer Segments,GNU C++,Wrong answer on test 6,31 ms,0 KB
2252734,2012-09-26 15:47:29,227C - Flying Saucer Segments,GNU C++,Wrong answer on test 6,31 ms,0 KB
2252633,2012-09-26 15:16:16,227A - Where do I Turn?,GNU C++,Accepted,31 ms,0 KB
2252631,2012-09-26 15:15:21,227A - Where do I Turn?,GNU C++,Wrong answer on test 18,31 ms,0 KB
2246411,2012-09-24 22:50:28,227C - Flying Saucer Segments,GNU C++,Wrong answer on test 8,31 ms,0 KB
2246397,2012-09-24 22:49:42,227C - Flying Saucer Segments,GNU C++,Wrong answer on test 1,15 ms,0 KB
2243669,2012-09-24 20:57:53,227A - Where do I Turn?,GNU C++,Wrong answer on test 19,31 ms,0 KB
2242274,2012-09-24 20:35:42,227B - Effective Approach,GNU C++,Accepted,343 ms,5500 KB
2242231,2012-09-24 20:34:59,227A - Where do I Turn?,GNU C++,Wrong answer on pretest 1,15 ms,0 KB
2241785,2012-09-24 20:29:16,227B - Effective Approach,GNU C++,Wrong answer on pretest 7,281 ms,4700 KB
2241581,2012-09-24 20:26:37,227A - Where do I Turn?,GNU C++,Wrong answer on pretest 4,31 ms,0 KB
2239744,2012-09-24 20:02:54,227B - Effective Approach,GNU C++,Time limit exceeded on pretest 7,2000 ms,1600 KB
2227092,2012-09-21 18:09:52,225B - Well-known Numbers,GNU C++,Accepted,31 ms,1500 KB
2214200,2012-09-19 20:06:26,225A - Dice Tower,GNU C++,Accepted,31 ms,1500 KB
2198915,2012-09-16 22:09:01,224A - Parallelepiped,GNU C++,Accepted,30 ms,1400 KB
2198878,2012-09-16 22:07:46,223A - Bracket Sequence,GNU C++,Runtime error on test 1,10 ms,1400 KB
2195361,2012-09-16 20:48:21,224B - Array,GNU C++,Accepted,110 ms,2200 KB
2193415,2012-09-16 20:21:30,224B - Array,GNU C++,Wrong answer on pretest 2,30 ms,1800 KB
2191508,2012-09-16 19:56:35,224A - Parallelepiped,GNU C++,Wrong answer on pretest 3,30 ms,1400 KB
