ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:9324
19083609,2016-07-13 19:40:50,691B - s-palindrome,Java 8,Accepted,186 ms,0 KB
19079701,2016-07-13 19:16:24,691A - Fashion in Berland,Java 8,Accepted,218 ms,0 KB
18924087,2016-07-06 19:58:38,689A - Mike and Cellphone,Java 8,Accepted,186 ms,0 KB
18805556,2016-06-29 21:45:11,688C - NP-Hard Problem,Java 8,Accepted,1013 ms,15000 KB
18804115,2016-06-29 21:34:31,688C - NP-Hard Problem,Java 8,Time limit exceeded on pretest 15,2000 ms,14000 KB
18802606,2016-06-29 21:23:06,688C - NP-Hard Problem,Java 8,Wrong answer on pretest 15,966 ms,14000 KB
18792815,2016-06-29 20:26:46,688B - Lovely Palindromes,Java 8,Accepted,155 ms,0 KB
18790310,2016-06-29 20:17:55,688A - Opponents,Java 8,Accepted,171 ms,0 KB
18679306,2016-06-23 20:34:31,686B - Little Robber Girl's Zoo,Java 8,Accepted,202 ms,0 KB
18669702,2016-06-23 19:43:36,686A - Free Ice Cream,Java 8,Accepted,202 ms,0 KB
18560379,2016-06-17 20:56:23,682A - Alyona and Numbers,Java 8,Accepted,155 ms,0 KB
18559619,2016-06-17 20:49:15,682A - Alyona and Numbers,Java 8,Wrong answer on pretest 5,170 ms,0 KB
18556833,2016-06-17 20:26:45,682B - Alyona and Mex,Java 8,Time limit exceeded on test 105,1000 ms,0 KB
18427003,2016-06-13 20:16:35,678C - Joty and Chocolate,Java 8,Hacked,140 ms,20400 KB
18422938,2016-06-13 19:45:19,678C - Joty and Chocolate,Java 8,Wrong answer on test 17,124 ms,20500 KB
18420879,2016-06-13 19:32:02,678A - Johny Likes Numbers,Java 8,Accepted,140 ms,0 KB
18420370,2016-06-13 19:28:59,678B - The Same Calendar,Java 8,Accepted,140 ms,0 KB
18417527,2016-06-13 19:14:40,678A - Johny Likes Numbers,Java 8,Time limit exceeded on test 14,500 ms,20500 KB
