ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:3243
17152648,2016-04-04 06:17:01,632E - Thief in a Shop,GNU C++,Accepted,623 ms,6100 KB
17148149,2016-04-03 19:34:57,632D - Longest Subsequence,GNU C++,Accepted,951 ms,41400 KB
17148132,2016-04-03 19:33:03,632D - Longest Subsequence,GNU C++,Wrong answer on test 4,15 ms,10000 KB
17147980,2016-04-03 19:21:12,632D - Longest Subsequence,GNU C++,Time limit exceeded on test 22,2000 ms,16000 KB
17147927,2016-04-03 19:17:10,632D - Longest Subsequence,GNU C++,Time limit exceeded on test 14,2000 ms,16000 KB
17147602,2016-04-03 18:50:26,632C - The Smallest String Concatenation,GNU C++,Accepted,312 ms,3400 KB
17147562,2016-04-03 18:47:05,632B - Alice  Bob  Two Teams,GNU C++,Accepted,109 ms,12400 KB
17147370,2016-04-03 18:31:48,632A - Grandma Laura and Apples,GNU C++,Accepted,15 ms,2000 KB
17122204,2016-04-02 06:42:13,638A - Home Numbers,GNU C++,Accepted,15 ms,2000 KB
17122176,2016-04-02 06:39:27,638A - Home Numbers,GNU C++,Wrong answer on test 2,15 ms,2000 KB
17110227,2016-04-01 20:19:13,656G - You're a Professional,GNU C++,Wrong answer on test 1,0 ms,0 KB
17109572,2016-04-01 20:15:14,656G - You're a Professional,GNU C++,Wrong answer on test 3,15 ms,2000 KB
17109184,2016-04-01 20:12:46,656G - You're a Professional,GNU C++,Wrong answer on test 3,15 ms,2000 KB
17105699,2016-04-01 19:52:54,656A - Da Vinci Powers,GNU C++,Accepted,15 ms,2200 KB
17104112,2016-04-01 19:43:42,656E - Out of Controls,GNU C++,Wrong answer on test 1,0 ms,0 KB
17101178,2016-04-01 19:28:22,656B - Scrambled,GNU C++,Accepted,15 ms,2200 KB
17094274,2016-04-01 19:01:44,656A - Da Vinci Powers,GNU C++,Wrong answer on test 3,0 ms,2200 KB
17077381,2016-03-31 19:02:39,659E - New Reform,GNU C++,Accepted,61 ms,6300 KB
17065397,2016-03-31 06:13:06,653C - Bear and Up-Down,GNU C++,Wrong answer on test 9,46 ms,3200 KB
17065388,2016-03-31 06:12:20,653C - Bear and Up-Down,GNU C++,Accepted,62 ms,4900 KB
17065181,2016-03-31 05:46:19,653C - Bear and Up-Down,GNU C++,Wrong answer on test 5,15 ms,4400 KB
17065141,2016-03-31 05:39:45,653C - Bear and Up-Down,GNU C++,Wrong answer on test 5,15 ms,4500 KB
17065130,2016-03-31 05:38:16,653C - Bear and Up-Down,GNU C++,Wrong answer on test 5,15 ms,4400 KB
17065036,2016-03-31 05:27:13,653C - Bear and Up-Down,GNU C++,Wrong answer on test 5,15 ms,4400 KB
17064979,2016-03-31 05:21:00,653C - Bear and Up-Down,GNU C++,Wrong answer on test 5,15 ms,4400 KB
17064615,2016-03-31 04:33:25,653B - Bear and Compressing,GNU C++,Accepted,15 ms,2200 KB
17064428,2016-03-31 04:12:39,653A - Bear and Three Balls,GNU C++,Accepted,15 ms,2200 KB
17064306,2016-03-31 03:57:40,653A - Bear and Three Balls,GNU C++,Wrong answer on test 5,15 ms,2000 KB
17064283,2016-03-31 03:54:32,653A - Bear and Three Balls,GNU C++,Wrong answer on test 5,15 ms,2000 KB
17058204,2016-03-30 21:32:39,659D - Bicycle Race,GNU C++,Accepted,15 ms,3000 KB
17057141,2016-03-30 21:22:44,659B - Qualifying Contest,GNU C++,Accepted,78 ms,5200 KB
17046569,2016-03-30 19:52:40,659B - Qualifying Contest,GNU C++,Hacked,61 ms,5100 KB
17043068,2016-03-30 19:32:59,659C - Tanya and Toys,GNU C++,Accepted,93 ms,6100 KB
17037758,2016-03-30 19:09:36,659A - Round House,GNU C++,Accepted,15 ms,2200 KB
16852353,2016-03-21 11:49:26,651C - Watchmen,GNU C++,Accepted,140 ms,3700 KB
16852306,2016-03-21 11:46:25,651C - Watchmen,GNU C++,Wrong answer on test 48,140 ms,3700 KB
16852115,2016-03-21 11:29:25,651B - Beautiful Paintings,GNU C++,Accepted,15 ms,2200 KB
16851929,2016-03-21 11:15:04,651A - Joysticks,GNU C++,Accepted,15 ms,2200 KB
16799666,2016-03-19 05:32:27,644B - Processing Queries,GNU C++,Accepted,233 ms,9900 KB
16799407,2016-03-19 05:02:32,645C - Enduring Exodus,GNU C++,Accepted,46 ms,500 KB
16788635,2016-03-18 20:04:29,645B - Mischievous Mess Makers,GNU C++,Accepted,15 ms,0 KB
16787071,2016-03-18 19:51:58,645A - Amity Assessment,GNU C++,Accepted,15 ms,0 KB
16766347,2016-03-17 18:20:42,644B - Processing Queries,GNU C++,Wrong answer on test 12,108 ms,5700 KB
16766191,2016-03-17 18:11:30,644B - Processing Queries,GNU C++,Wrong answer on pretest 5,15 ms,4700 KB
16766145,2016-03-17 18:08:39,644B - Processing Queries,GNU C++,Wrong answer on pretest 4,0 ms,3100 KB
16765509,2016-03-17 17:32:59,644A - Parliament of Berland,GNU C++,Accepted,15 ms,0 KB
16759896,2016-03-17 11:39:09,637B - Chat Order,GNU C++,Accepted,1512 ms,15700 KB
16759722,2016-03-17 11:27:04,637B - Chat Order,GNU C++,Wrong answer on test 12,46 ms,2400 KB
16759630,2016-03-17 11:19:47,637B - Chat Order,GNU C++,Wrong answer on test 13,218 ms,4500 KB
16759600,2016-03-17 11:17:16,637B - Chat Order,GNU C++,Wrong answer on test 13,576 ms,4500 KB
16759594,2016-03-17 11:16:39,637B - Chat Order,GNU C++,Wrong answer on test 13,577 ms,4500 KB
16759564,2016-03-17 11:14:25,637B - Chat Order,GNU C++,Wrong answer on test 12,218 ms,2400 KB
16759549,2016-03-17 11:13:28,637B - Chat Order,GNU C++,Wrong answer on test 13,592 ms,4500 KB
16759537,2016-03-17 11:12:25,637B - Chat Order,GNU C++,Wrong answer on test 13,576 ms,3800 KB
16759473,2016-03-17 11:05:08,637B - Chat Order,GNU C++,Wrong answer on test 12,296 ms,2400 KB
16759459,2016-03-17 11:03:36,637B - Chat Order,GNU C++,Wrong answer on test 12,202 ms,2400 KB
16759193,2016-03-17 10:41:36,637A - Voting for Photos,GNU C++,Accepted,31 ms,4000 KB
16759157,2016-03-17 10:38:08,637A - Voting for Photos,GNU C++,Wrong answer on test 52,31 ms,3900 KB
16684636,2016-03-13 07:22:11,650A - Watchmen,GNU C++,Accepted,139 ms,2400 KB
16684630,2016-03-13 07:21:28,650A - Watchmen,GNU C++,Runtime error on test 4,15 ms,1600 KB
16684513,2016-03-13 07:07:04,650A - Watchmen,GNU C++,Wrong answer on test 3,0 ms,1600 KB
16398114,2016-02-28 10:13:40,633C - Spy Syndrome 2,GNU C++,Memory limit exceeded on test 71,1668 ms,262100 KB
16398087,2016-02-28 10:10:52,633C - Spy Syndrome 2,GNU C++,Memory limit exceeded on test 71,1154 ms,262100 KB
16398027,2016-02-28 10:04:25,633C - Spy Syndrome 2,GNU C++,Wrong answer on test 28,93 ms,196800 KB
16398008,2016-02-28 10:02:28,633C - Spy Syndrome 2,GNU C++,Wrong answer on test 28,108 ms,196800 KB
16397954,2016-02-28 09:57:19,633C - Spy Syndrome 2,GNU C++,Memory limit exceeded on test 71,1154 ms,262100 KB
16397896,2016-02-28 09:51:05,633C - Spy Syndrome 2,GNU C++,Wrong answer on test 28,93 ms,196800 KB
16397854,2016-02-28 09:47:30,633C - Spy Syndrome 2,GNU C++,Wrong answer on test 28,108 ms,196500 KB
16397799,2016-02-28 09:43:06,633C - Spy Syndrome 2,GNU C++,Runtime error on test 3,0 ms,196200 KB
16396785,2016-02-28 07:56:18,633D - Fibonacci-ish,GNU C++,Accepted,2979 ms,7900 KB
16396763,2016-02-28 07:53:15,633D - Fibonacci-ish,GNU C++,Wrong answer on test 6,156 ms,7900 KB
16396751,2016-02-28 07:51:54,633D - Fibonacci-ish,GNU C++,Wrong answer on test 6,156 ms,7900 KB
16396730,2016-02-28 07:48:45,633D - Fibonacci-ish,GNU C++,Compilation error,0 ms,0 KB
16396708,2016-02-28 07:45:44,633D - Fibonacci-ish,GNU C++,Wrong answer on test 3,155 ms,7900 KB
16396706,2016-02-28 07:45:29,629C - Famil Door and Brackets,GNU C++,Wrong answer on test 1,0 ms,7900 KB
16396551,2016-02-28 07:25:58,633D - Fibonacci-ish,GNU C++,Time limit exceeded on test 57,3000 ms,7900 KB
16396535,2016-02-28 07:24:38,633D - Fibonacci-ish,GNU C++,Wrong answer on test 3,233 ms,7900 KB
16396513,2016-02-28 07:21:48,633D - Fibonacci-ish,GNU C++,Wrong answer on test 3,218 ms,7900 KB
16396389,2016-02-28 07:07:20,633D - Fibonacci-ish,GNU C++,Wrong answer on test 3,15 ms,7900 KB
16396314,2016-02-28 06:57:42,633D - Fibonacci-ish,GNU C++,Wrong answer on test 3,15 ms,7900 KB
16396228,2016-02-28 06:45:25,633D - Fibonacci-ish,GNU C++,Time limit exceeded on test 3,3000 ms,0 KB
16396020,2016-02-28 06:14:24,633C - Spy Syndrome 2,GNU C++,Memory limit exceeded on test 71,1653 ms,262100 KB
16396012,2016-02-28 06:12:35,633C - Spy Syndrome 2,GNU C++,Memory limit exceeded on test 71,1138 ms,262100 KB
16396001,2016-02-28 06:10:54,633C - Spy Syndrome 2,GNU C++,Memory limit exceeded on test 71,1185 ms,262100 KB
16395426,2016-02-28 04:44:23,633B - A Trivial Problem,GNU C++,Accepted,15 ms,400 KB
16395418,2016-02-28 04:42:14,633B - A Trivial Problem,GNU C++,Wrong answer on test 42,15 ms,400 KB
16395383,2016-02-28 04:33:17,633A - Ebony and Ivory,GNU C++,Accepted,15 ms,0 KB
16345534,2016-02-26 14:46:35,600C - Make Palindrome,GNU C++,Accepted,15 ms,200 KB
16345434,2016-02-26 14:41:18,600C - Make Palindrome,GNU C++,Wrong answer on test 5,15 ms,200 KB
16344265,2016-02-26 13:38:19,581D - Three Logos,GNU C++,Accepted,30 ms,0 KB
16344160,2016-02-26 13:30:07,581D - Three Logos,GNU C++,Wrong answer on test 8,15 ms,0 KB
16344138,2016-02-26 13:28:23,581D - Three Logos,GNU C++,Wrong answer on test 1,0 ms,0 KB
16343673,2016-02-26 12:55:05,581C - Developing Skills,GNU C++,Accepted,31 ms,1200 KB
16343615,2016-02-26 12:51:32,581C - Developing Skills,GNU C++,Wrong answer on test 5,15 ms,800 KB
16343482,2016-02-26 12:40:33,581B - Luxurious Houses,GNU C++,Accepted,61 ms,800 KB
16343362,2016-02-26 12:31:50,581A - Vasya the Hipster,GNU C++,Accepted,15 ms,0 KB
16342691,2016-02-26 11:50:35,617C - Watering Flowers,GNU C++,Accepted,30 ms,0 KB
16342548,2016-02-26 11:40:32,617C - Watering Flowers,GNU C++,Wrong answer on test 9,15 ms,100 KB
16342472,2016-02-26 11:35:24,617C - Watering Flowers,GNU C++,Wrong answer on test 7,15 ms,100 KB
16342433,2016-02-26 11:32:39,617C - Watering Flowers,GNU C++,Wrong answer on test 7,15 ms,100 KB
16342412,2016-02-26 11:31:08,617C - Watering Flowers,GNU C++,Wrong answer on test 7,15 ms,100 KB
16342041,2016-02-26 11:07:32,629D - Babaei and Birthday Cake,GNU C++,Accepted,62 ms,3100 KB
16341837,2016-02-26 10:53:14,629D - Babaei and Birthday Cake,GNU C++,Accepted,78 ms,3900 KB
16341817,2016-02-26 10:51:39,629D - Babaei and Birthday Cake,GNU C++,Wrong answer on test 6,77 ms,3900 KB
