ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:15311
15618660,2016-01-27 22:57:33,237A - Free Cash,GNU C++11,Wrong answer on test 10,468 ms,800 KB
15618647,2016-01-27 22:56:50,237A - Free Cash,GNU C++11,Wrong answer on test 9,62 ms,800 KB
15618643,2016-01-27 22:56:11,237A - Free Cash,GNU C++11,Time limit exceeded on test 9,2000 ms,9600 KB
15618633,2016-01-27 22:55:23,237A - Free Cash,GNU C++11,Wrong answer on test 8,30 ms,0 KB
15618629,2016-01-27 22:55:07,237A - Free Cash,GNU C++11,Compilation error,0 ms,0 KB
15616357,2016-01-27 20:16:57,237A - Free Cash,GNU C++11,Wrong answer on test 7,30 ms,0 KB
15616230,2016-01-27 20:09:51,237A - Free Cash,GNU C++11,Wrong answer on test 7,30 ms,0 KB
15615712,2016-01-27 19:39:48,237A - Free Cash,GNU C++11,Wrong answer on test 1,30 ms,0 KB
15615694,2016-01-27 19:38:21,237A - Free Cash,GNU C++11,Wrong answer on test 3,30 ms,0 KB
15615657,2016-01-27 19:36:44,237A - Free Cash,GNU C++11,Wrong answer on test 1,0 ms,0 KB
15615649,2016-01-27 19:36:15,237A - Free Cash,GNU C++11,Wrong answer on test 2,0 ms,0 KB
15615634,2016-01-27 19:35:31,237A - Free Cash,GNU C++11,Wrong answer on test 2,30 ms,0 KB
15615365,2016-01-27 19:19:40,237A - Free Cash,GNU C++11,Runtime error on test 8,30 ms,0 KB
15615115,2016-01-27 19:08:00,237A - Free Cash,GNU C++11,Wrong answer on test 7,30 ms,0 KB
15615094,2016-01-27 19:06:45,237A - Free Cash,GNU C++11,Runtime error on test 7,30 ms,0 KB
15612284,2016-01-27 16:22:29,577A - Multiplication Table,GNU C++11,Time limit exceeded on test 6,1000 ms,0 KB
15612205,2016-01-27 16:18:02,577A - Multiplication Table,GNU C++11,Wrong answer on test 2,15 ms,0 KB
15611429,2016-01-27 15:36:07,577A - Multiplication Table,GNU C++11,Time limit exceeded on test 19,1000 ms,0 KB
15610935,2016-01-27 15:02:48,577A - Multiplication Table,GNU C++11,Time limit exceeded on test 6,1000 ms,0 KB
15610913,2016-01-27 15:01:34,577A - Multiplication Table,GNU C++11,Wrong answer on test 1,0 ms,0 KB
15610153,2016-01-27 14:13:01,577A - Multiplication Table,GNU C++11,Wrong answer on test 1,0 ms,0 KB
15610130,2016-01-27 14:11:54,577A - Multiplication Table,GNU C++11,Wrong answer on test 2,15 ms,0 KB
15610119,2016-01-27 14:11:30,577A - Multiplication Table,GNU C++11,Compilation error,0 ms,0 KB
15610084,2016-01-27 14:10:00,577A - Multiplication Table,GNU C++11,Wrong answer on test 1,0 ms,0 KB
15610072,2016-01-27 14:09:27,577A - Multiplication Table,GNU C++11,Compilation error,0 ms,0 KB
15610007,2016-01-27 14:05:31,577A - Multiplication Table,GNU C++11,Time limit exceeded on test 19,1000 ms,0 KB
15609970,2016-01-27 14:03:16,577A - Multiplication Table,GNU C++11,Wrong answer on test 16,171 ms,0 KB
15609948,2016-01-27 14:02:05,577A - Multiplication Table,GNU C++11,Time limit exceeded on test 16,1000 ms,0 KB
15609938,2016-01-27 14:01:27,577A - Multiplication Table,GNU C++11,Wrong answer on test 15,171 ms,0 KB
15609898,2016-01-27 13:58:52,577A - Multiplication Table,GNU C++11,Time limit exceeded on test 15,1000 ms,0 KB
15609888,2016-01-27 13:58:25,577A - Multiplication Table,GNU C++11,Wrong answer on test 9,15 ms,0 KB
15609877,2016-01-27 13:57:11,577A - Multiplication Table,GNU C++11,Time limit exceeded on test 9,1000 ms,0 KB
15609827,2016-01-27 13:54:02,577A - Multiplication Table,GNU C++11,Time limit exceeded on test 6,1000 ms,0 KB
15609793,2016-01-27 13:52:05,577A - Multiplication Table,GNU C++11,Time limit exceeded on test 6,1000 ms,0 KB
15603196,2016-01-27 03:44:40,443A - Anton and Letters,GNU C++11,Wrong answer on test 4,0 ms,0 KB
15603077,2016-01-27 03:22:40,443A - Anton and Letters,GNU C++11,Wrong answer on test 6,15 ms,0 KB
15602994,2016-01-27 03:04:06,443A - Anton and Letters,GNU C++11,Wrong answer on test 15,15 ms,0 KB
15602993,2016-01-27 03:03:16,577A - Multiplication Table,GNU C++11,Wrong answer on test 1,0 ms,0 KB
15602987,2016-01-27 03:01:45,443A - Anton and Letters,GNU C++11,Wrong answer on test 14,15 ms,0 KB
15602975,2016-01-27 02:59:06,443A - Anton and Letters,GNU C++11,Wrong answer on test 13,15 ms,0 KB
15602969,2016-01-27 02:57:44,443A - Anton and Letters,GNU C++11,Compilation error,0 ms,0 KB
15602965,2016-01-27 02:57:08,443A - Anton and Letters,GNU C++11,Compilation error,0 ms,0 KB
15602949,2016-01-27 02:54:36,443A - Anton and Letters,GNU C++11,Compilation error,0 ms,0 KB
15602923,2016-01-27 02:48:17,443A - Anton and Letters,GNU C++11,Wrong answer on test 14,15 ms,0 KB
15602915,2016-01-27 02:47:28,443A - Anton and Letters,GNU C++11,Wrong answer on test 14,15 ms,0 KB
15602906,2016-01-27 02:46:05,443A - Anton and Letters,GNU C++11,Wrong answer on test 14,15 ms,0 KB
15602892,2016-01-27 02:43:37,443A - Anton and Letters,GNU C++11,Wrong answer on test 5,15 ms,0 KB
15602881,2016-01-27 02:40:33,443A - Anton and Letters,GNU C++11,Wrong answer on test 14,15 ms,0 KB
15602335,2016-01-27 01:17:54,443A - Anton and Letters,GNU C++11,Compilation error,0 ms,0 KB
15602252,2016-01-27 01:07:55,443A - Anton and Letters,GNU C++11,Wrong answer on test 12,15 ms,100 KB
15602228,2016-01-27 01:05:19,443A - Anton and Letters,GNU C++11,Wrong answer on test 12,15 ms,100 KB
15602216,2016-01-27 01:03:51,443A - Anton and Letters,GNU C++11,Wrong answer on test 12,15 ms,100 KB
15602090,2016-01-27 00:51:13,443A - Anton and Letters,GNU C++11,Wrong answer on test 2,15 ms,100 KB
15601340,2016-01-26 23:37:32,577A - Multiplication Table,GNU C++11,Time limit exceeded on test 9,1000 ms,9400 KB
15601238,2016-01-26 23:29:20,577A - Multiplication Table,GNU C++11,Wrong answer on test 8,15 ms,100 KB
15601186,2016-01-26 23:25:05,577A - Multiplication Table,GNU C++11,Compilation error,0 ms,0 KB
15601080,2016-01-26 23:17:37,577A - Multiplication Table,GNU C++11,Time limit exceeded on test 6,1000 ms,9700 KB
15600708,2016-01-26 22:50:27,459A - Pashmak and Garden,GNU C++11,Wrong answer on test 7,15 ms,0 KB
15599861,2016-01-26 21:50:04,459A - Pashmak and Garden,GNU C++11,Wrong answer on test 6,15 ms,0 KB
15599651,2016-01-26 21:39:22,459A - Pashmak and Garden,GNU C++11,Wrong answer on test 1,0 ms,0 KB
15599518,2016-01-26 21:30:43,459A - Pashmak and Garden,GNU C++11,Wrong answer on test 4,15 ms,0 KB
