ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:15163
19646798,2016-08-05 10:51:51,703B - Mishka and trip,GNU C++11,Time limit exceeded on test 10,1000 ms,2800 KB
19646361,2016-08-05 10:29:07,703A - Mishka and Game,GNU C++11,Accepted,15 ms,2000 KB
19646255,2016-08-05 10:24:24,703C - Chris and Road,GNU C++11,Accepted,15 ms,2200 KB
19646214,2016-08-05 10:22:24,703C - Chris and Road,GNU C++11,Wrong answer on test 3,15 ms,2200 KB
19645696,2016-08-05 09:55:44,703C - Chris and Road,GNU C++11,Accepted,31 ms,2400 KB
19645552,2016-08-05 09:48:32,703C - Chris and Road,MS C++,Wrong answer on test 5,15 ms,2200 KB
19645429,2016-08-05 09:41:43,703C - Chris and Road,GNU C++,Wrong answer on test 5,15 ms,2300 KB
19645301,2016-08-05 09:32:56,703C - Chris and Road,GNU C++11,Wrong answer on test 5,15 ms,2300 KB
19645253,2016-08-05 09:30:21,703C - Chris and Road,GNU C++11,Wrong answer on test 5,15 ms,2300 KB
19645232,2016-08-05 09:29:24,703C - Chris and Road,GNU C++11,Wrong answer on test 5,15 ms,2300 KB
19645197,2016-08-05 09:27:41,703C - Chris and Road,GNU C++11,Wrong answer on test 5,15 ms,2300 KB
19645166,2016-08-05 09:26:16,703C - Chris and Road,GNU C++11,Wrong answer on test 5,15 ms,2300 KB
19633233,2016-08-04 20:04:16,703C - Chris and Road,GNU C++11,Wrong answer on pretest 5,15 ms,2300 KB
19632571,2016-08-04 19:59:34,703C - Chris and Road,GNU C++11,Wrong answer on pretest 2,15 ms,2300 KB
19624081,2016-08-04 18:45:26,703A - Mishka and Game,GNU C++11,Accepted,15 ms,2000 KB
19599760,2016-08-03 17:28:30,597A - Divisibility,GNU C++11,Accepted,30 ms,0 KB
19599398,2016-08-03 17:10:44,18C - Stripe,GNU C++11,Accepted,92 ms,1200 KB
19599174,2016-08-03 16:58:27,18C - Stripe,GNU C++11,Wrong answer on test 13,30 ms,1400 KB
19598965,2016-08-03 16:48:31,6C - Alice, Bob and Chocolate,GNU C++11,Accepted,62 ms,1200 KB
19598688,2016-08-03 16:33:43,18B - Platforms,GNU C++11,Accepted,92 ms,0 KB
19598116,2016-08-03 16:04:06,18A - Triangle,GNU C++11,Accepted,30 ms,0 KB
19598097,2016-08-03 16:03:02,18A - Triangle,GNU C++11,Wrong answer on test 20,62 ms,0 KB
19597636,2016-08-03 15:40:05,6A - Triangle,GNU C++11,Accepted,30 ms,0 KB
19597500,2016-08-03 15:33:12,127A - Wasted Time,GNU C++11,Accepted,30 ms,0 KB
19597259,2016-08-03 15:19:27,600B - Queries about less or equal elements,GNU C++11,Accepted,170 ms,1600 KB
19597087,2016-08-03 15:08:59,600C - Make Palindrome,GNU C++11,Accepted,31 ms,0 KB
19597024,2016-08-03 15:04:23,600A - Extract Numbers,GNU C++11,Accepted,15 ms,300 KB
19596845,2016-08-03 14:53:59,600A - Extract Numbers,GNU C++11,Wrong answer on test 6,15 ms,300 KB
19591838,2016-08-03 09:05:40,600D - Area of Two Circles' Intersection,GNU C++11,Accepted,15 ms,0 KB
19591061,2016-08-03 07:50:53,600D - Area of Two Circles' Intersection,GNU C++11,Wrong answer on test 41,15 ms,0 KB
19590510,2016-08-03 06:39:13,600D - Area of Two Circles' Intersection,GNU C++11,Wrong answer on test 33,15 ms,0 KB
19589718,2016-08-03 05:20:37,698D - Limak and Shooting Points,GNU C++11,Wrong answer on test 6,15 ms,0 KB
19589706,2016-08-03 05:19:06,698D - Limak and Shooting Points,GNU C++11,Runtime error on test 1,0 ms,0 KB
19571084,2016-08-02 05:55:06,679A - Bear and Prime 100,GNU C++11,Accepted,15 ms,0 KB
19571061,2016-08-02 05:53:01,679A - Bear and Prime 100,GNU C++11,Accepted,31 ms,0 KB
19571006,2016-08-02 05:48:18,679A - Bear and Prime 100,GNU C++11,Wrong answer on test 6,15 ms,0 KB
19570997,2016-08-02 05:47:28,679A - Bear and Prime 100,GNU C++11,Compilation error,0 ms,0 KB
19570781,2016-08-02 05:29:09,698D - Limak and Shooting Points,GNU C++11,Wrong answer on test 7,31 ms,0 KB
19570766,2016-08-02 05:27:56,698D - Limak and Shooting Points,GNU C++11,Compilation error,0 ms,0 KB
19570706,2016-08-02 05:21:34,698D - Limak and Shooting Points,GNU C++11,Wrong answer on test 6,15 ms,0 KB
19570665,2016-08-02 05:17:25,698D - Limak and Shooting Points,GNU C++11,Wrong answer on test 6,15 ms,0 KB
19570630,2016-08-02 05:13:56,698D - Limak and Shooting Points,GNU C++11,Wrong answer on test 5,15 ms,0 KB
19561267,2016-08-01 16:10:53,659E - New Reform,GNU C++11,Accepted,62 ms,4700 KB
19560279,2016-08-01 15:25:52,659B - Qualifying Contest,GNU C++11,Accepted,499 ms,4900 KB
19559885,2016-08-01 15:07:31,659C - Tanya and Toys,GNU C++11,Accepted,78 ms,3400 KB
19557001,2016-08-01 12:51:12,659D - Bicycle Race,GNU C++11,Accepted,15 ms,0 KB
19556950,2016-08-01 12:48:33,659D - Bicycle Race,GNU C++11,Compilation error,0 ms,0 KB
19556764,2016-08-01 12:39:33,659A - Round House,GNU C++11,Accepted,15 ms,0 KB
19506756,2016-07-30 05:04:15,702C - Cellular Network,GNU C++11,Accepted,93 ms,1600 KB
19506355,2016-07-30 04:37:39,702A - Maximum Increase,GNU C++11,Accepted,30 ms,400 KB
19506237,2016-07-30 04:30:43,702B - Powers of Two,GNU C++11,Accepted,156 ms,400 KB
19475280,2016-07-29 11:03:43,682C - Alyona and the Tree,GNU C++11,Accepted,78 ms,7400 KB
19471441,2016-07-29 06:30:16,682B - Alyona and Mex,GNU C++11,Accepted,31 ms,400 KB
19471379,2016-07-29 06:23:20,682A - Alyona and Numbers,GNU C++11,Accepted,15 ms,0 KB
19471370,2016-07-29 06:22:29,682A - Alyona and Numbers,GNU C++11,Wrong answer on test 11,15 ms,0 KB
19471281,2016-07-29 06:12:33,678B - The Same Calendar,GNU C++11,Accepted,31 ms,0 KB
19441288,2016-07-27 15:06:49,598C - Nearest vectors,GNU C++11,Accepted,124 ms,3900 KB
19441243,2016-07-27 15:04:34,598C - Nearest vectors,GNU C++11,Wrong answer on test 1,15 ms,3900 KB
19440930,2016-07-27 14:49:30,598C - Nearest vectors,GNU C++11,Wrong answer on test 114,124 ms,3100 KB
19440699,2016-07-27 14:38:40,598C - Nearest vectors,GNU C++11,Wrong answer on test 3,15 ms,2400 KB
19440677,2016-07-27 14:37:20,598C - Nearest vectors,GNU C++11,Compilation error,0 ms,0 KB
19440262,2016-07-27 14:17:51,598D - Igor In the Museum,GNU C++11,Accepted,93 ms,5900 KB
19438448,2016-07-27 12:41:27,598B - Queries on a String,GNU C++11,Accepted,31 ms,0 KB
19438362,2016-07-27 12:37:12,598B - Queries on a String,GNU C++11,Wrong answer on test 4,15 ms,0 KB
19438036,2016-07-27 12:23:34,598A - Tricky Sum,GNU C++11,Accepted,15 ms,0 KB
19436509,2016-07-27 11:11:38,678F - Lena and Queries,GNU C++11,Time limit exceeded on test 20,4000 ms,5900 KB
19436406,2016-07-27 11:05:06,678F - Lena and Queries,GNU C++11,Time limit exceeded on test 16,4000 ms,3500 KB
19436365,2016-07-27 11:02:52,678F - Lena and Queries,GNU C++11,Wrong answer on test 13,15 ms,3500 KB
19436285,2016-07-27 10:59:20,678F - Lena and Queries,GNU C++11,Wrong answer on test 10,15 ms,3500 KB
19435768,2016-07-27 10:31:17,678C - Joty and Chocolate,GNU C++11,Accepted,30 ms,0 KB
19435612,2016-07-27 10:24:14,678D - Iterated Linear Function,GNU C++11,Accepted,15 ms,0 KB
19435243,2016-07-27 10:02:13,678A - Johny Likes Numbers,GNU C++11,Accepted,15 ms,0 KB
19435220,2016-07-27 10:01:25,678A - Johny Likes Numbers,GNU C++11,Wrong answer on test 4,15 ms,0 KB
19405635,2016-07-25 17:37:38,682E - Alyona and Triangles,GNU C++11,Accepted,15 ms,1000 KB
19405419,2016-07-25 17:22:52,682E - Alyona and Triangles,GNU C++11,Wrong answer on test 2,0 ms,1000 KB
19405236,2016-07-25 17:12:14,682E - Alyona and Triangles,GNU C++11,Wrong answer on test 2,15 ms,1000 KB
19397761,2016-07-25 10:30:17,615A - Bulbs,GNU C++11,Accepted,15 ms,0 KB
19393729,2016-07-25 06:47:09,630D - Hexagons!,GNU C++11,Accepted,15 ms,0 KB
19393618,2016-07-25 06:39:43,630P - Area of a Star,GNU C++11,Accepted,15 ms,0 KB
19393445,2016-07-25 06:26:07,630B - Moore's Law,GNU C++11,Accepted,15 ms,0 KB
19393344,2016-07-25 06:18:38,630A - Again Twenty Five!,GNU C++11,Accepted,15 ms,0 KB
19392977,2016-07-25 05:50:37,691D - Swaps in Permutation,GNU C++11,Accepted,1434 ms,42900 KB
19392822,2016-07-25 05:40:27,691B - s-palindrome,GNU C++11,Accepted,31 ms,0 KB
19392756,2016-07-25 05:37:14,691B - s-palindrome,GNU C++11,Wrong answer on test 11,15 ms,0 KB
19392713,2016-07-25 05:34:53,691B - s-palindrome,GNU C++11,Compilation error,0 ms,0 KB
19392699,2016-07-25 05:34:07,691B - s-palindrome,GNU C++11,Compilation error,0 ms,0 KB
19392466,2016-07-25 05:18:52,691A - Fashion in Berland,GNU C++11,Accepted,15 ms,0 KB
19366598,2016-07-23 17:21:18,701C - They Are Everywhere,GNU C++11,Accepted,15 ms,0 KB
19366276,2016-07-23 17:01:18,701B - Cells Not Under Attack,GNU C++11,Accepted,77 ms,200 KB
19366221,2016-07-23 16:57:49,701B - Cells Not Under Attack,GNU C++11,Wrong answer on test 3,15 ms,200 KB
19366176,2016-07-23 16:55:17,701B - Cells Not Under Attack,GNU C++11,Wrong answer on test 3,15 ms,200 KB
19366155,2016-07-23 16:54:13,701B - Cells Not Under Attack,GNU C++11,Wrong answer on test 2,15 ms,200 KB
19366033,2016-07-23 16:44:31,701A - Cards,GNU C++11,Accepted,15 ms,0 KB
19366020,2016-07-23 16:43:56,701A - Cards,GNU C++11,Wrong answer on test 1,15 ms,0 KB
19366005,2016-07-23 16:43:03,701A - Cards,GNU C++11,Compilation error,0 ms,0 KB
19325400,2016-07-22 16:44:52,630Q - Pyramids,GNU C++11,Accepted,30 ms,0 KB
19325232,2016-07-22 16:35:37,630Q - Pyramids,GNU C++11,Accepted,15 ms,0 KB
19325171,2016-07-22 16:33:00,630Q - Pyramids,GNU C++11,Wrong answer on test 1,0 ms,0 KB
19324276,2016-07-22 15:47:17,667A - Pouring Rain,GNU C++11,Accepted,15 ms,0 KB
19324242,2016-07-22 15:45:15,667A - Pouring Rain,GNU C++11,Compilation error,0 ms,0 KB
19291074,2016-07-21 05:29:15,615E - Hexagons,GNU C++11,Accepted,15 ms,0 KB
19284372,2016-07-20 19:38:50,615E - Hexagons,GNU C++11,Wrong answer on test 96,15 ms,0 KB
19280919,2016-07-20 16:01:59,691C - Exponential notation,GNU C++11,Accepted,78 ms,1000 KB
19280821,2016-07-20 15:57:35,691C - Exponential notation,GNU C++11,Wrong answer on test 1,15 ms,1000 KB
19280811,2016-07-20 15:57:05,691C - Exponential notation,GNU C++11,Wrong answer on test 1,0 ms,1100 KB
19280776,2016-07-20 15:55:24,691C - Exponential notation,GNU C++11,Wrong answer on test 1,0 ms,1000 KB
19280725,2016-07-20 15:53:10,691C - Exponential notation,GNU C++11,Wrong answer on test 1,15 ms,1000 KB
19280664,2016-07-20 15:49:48,691C - Exponential notation,GNU C++11,Wrong answer on test 7,15 ms,1000 KB
19280608,2016-07-20 15:47:33,691C - Exponential notation,GNU C++11,Wrong answer on test 1,15 ms,1000 KB
19280529,2016-07-20 15:43:58,691C - Exponential notation,GNU C++11,Wrong answer on test 1,0 ms,1000 KB
19280365,2016-07-20 15:36:52,691C - Exponential notation,GNU C++11,Wrong answer on test 27,62 ms,1000 KB
19280319,2016-07-20 15:35:18,691C - Exponential notation,GNU C++11,Compilation error,0 ms,0 KB
19280276,2016-07-20 15:33:14,691C - Exponential notation,GNU C++11,Wrong answer on test 8,15 ms,1000 KB
