ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:8788
17981231,2016-05-18 17:26:00,583B - Robot's Task,GNU C++11,Accepted,15 ms,2200 KB
17981106,2016-05-18 17:16:16,586A - Alena's Schedule,GNU C++11,Accepted,15 ms,2200 KB
17980844,2016-05-18 16:57:45,554A - Kyoya and Photobooks,GNU C++11,Accepted,15 ms,2200 KB
17980721,2016-05-18 16:49:02,659A - Round House,GNU C++11,Accepted,15 ms,2200 KB
17980466,2016-05-18 16:30:21,384A - Coder,GNU C++11,Accepted,15 ms,3200 KB
17980328,2016-05-18 16:22:18,384A - Coder,GNU C++11,Wrong answer on test 2,0 ms,2000 KB
17980307,2016-05-18 16:21:22,384A - Coder,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
17980093,2016-05-18 16:08:26,230B - T-primes,GNU C++11,Accepted,1560 ms,2200 KB
17980053,2016-05-18 16:05:45,230B - T-primes,GNU C++11,Wrong answer on test 3,30 ms,2000 KB
17979704,2016-05-18 15:39:45,595A - Vitaly and Night,GNU C++11,Accepted,46 ms,2200 KB
17979588,2016-05-18 15:32:08,573A - Bear and Poker,GNU C++11,Accepted,280 ms,2000 KB
17979380,2016-05-18 15:17:06,378A - Playing with Dice,GNU C++11,Accepted,15 ms,2200 KB
17979253,2016-05-18 15:07:33,570B - Simple Game,GNU C++11,Accepted,31 ms,2200 KB
17979232,2016-05-18 15:06:21,570B - Simple Game,GNU C++11,Wrong answer on test 18,15 ms,2200 KB
17979210,2016-05-18 15:04:37,570B - Simple Game,GNU C++11,Wrong answer on test 17,15 ms,2000 KB
17979200,2016-05-18 15:03:57,570B - Simple Game,GNU C++11,Wrong answer on test 18,15 ms,2200 KB
17979153,2016-05-18 15:00:05,570B - Simple Game,GNU C++11,Wrong answer on test 3,15 ms,2000 KB
17979133,2016-05-18 14:58:18,570B - Simple Game,GNU C++11,Wrong answer on test 3,15 ms,2000 KB
17978918,2016-05-18 14:45:09,520B - Two Buttons,GNU C++11,Accepted,15 ms,2200 KB
17978571,2016-05-18 14:25:06,581B - Luxurious Houses,GNU C++11,Accepted,343 ms,2900 KB
17978565,2016-05-18 14:24:23,581B - Luxurious Houses,GNU C++11,Wrong answer on test 7,280 ms,2800 KB
17978272,2016-05-18 14:03:29,549A - Face Detection,GNU C++11,Accepted,15 ms,2200 KB
17978001,2016-05-18 13:45:05,548A - Mike and Fax,GNU C++11,Accepted,15 ms,2200 KB
17977990,2016-05-18 13:44:03,548A - Mike and Fax,GNU C++11,Wrong answer on test 2,0 ms,2200 KB
17975614,2016-05-18 09:35:20,151A - Soft Drinking,GNU C++11,Accepted,30 ms,2200 KB
17975567,2016-05-18 09:29:07,546B - Soldier and Badges,GNU C++11,Accepted,15 ms,2200 KB
17975433,2016-05-18 09:10:32,546B - Soldier and Badges,GNU C++11,Wrong answer on test 10,15 ms,2000 KB
17975425,2016-05-18 09:09:26,546B - Soldier and Badges,GNU C++11,Time limit exceeded on test 1,3000 ms,2000 KB
17975412,2016-05-18 09:07:34,546B - Soldier and Badges,GNU C++11,Wrong answer on test 10,15 ms,2200 KB
17975372,2016-05-18 09:02:31,546B - Soldier and Badges,GNU C++11,Time limit exceeded on test 30,3000 ms,2200 KB
17975175,2016-05-18 08:36:53,552A - Vanya and Table,GNU C++11,Accepted,30 ms,2200 KB
17974997,2016-05-18 08:09:00,610A - Pasha and Stick,GNU C++11,Accepted,15 ms,2200 KB
17974994,2016-05-18 08:07:46,610A - Pasha and Stick,GNU C++11,Accepted,15 ms,2200 KB
17974990,2016-05-18 08:07:12,610A - Pasha and Stick,GNU C++11,Wrong answer on test 16,15 ms,2200 KB
17974965,2016-05-18 08:02:03,598A - Tricky Sum,GNU C++11,Accepted,15 ms,2200 KB
17974956,2016-05-18 08:00:18,598A - Tricky Sum,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
17974867,2016-05-18 07:42:14,465A - inc ARG,GNU C++11,Accepted,30 ms,2200 KB
17974862,2016-05-18 07:41:25,465A - inc ARG,GNU C++11,Wrong answer on test 1,15 ms,2200 KB
17974845,2016-05-18 07:39:07,465A - inc ARG,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
17974813,2016-05-18 07:33:53,463A - Caisa and Sugar,GNU C++11,Accepted,15 ms,2200 KB
17974810,2016-05-18 07:33:10,463A - Caisa and Sugar,GNU C++11,Wrong answer on test 19,15 ms,2200 KB
17974801,2016-05-18 07:31:47,463A - Caisa and Sugar,GNU C++11,Wrong answer on test 21,31 ms,2200 KB
17974796,2016-05-18 07:30:57,463A - Caisa and Sugar,GNU C++11,Wrong answer on test 3,0 ms,2000 KB
17974594,2016-05-18 06:59:54,525A - Vitaliy and Pie,GNU C++11,Accepted,93 ms,2200 KB
17974557,2016-05-18 06:52:38,435A - Queue on Bus Stop,GNU C++11,Accepted,15 ms,2200 KB
17974538,2016-05-18 06:48:28,435A - Queue on Bus Stop,GNU C++11,Wrong answer on test 5,0 ms,2000 KB
17969972,2016-05-17 19:12:07,450A - Jzzhu and Children,GNU C++11,Accepted,30 ms,2200 KB
17969958,2016-05-17 19:11:05,450A - Jzzhu and Children,GNU C++11,Wrong answer on test 1,15 ms,2000 KB
17969911,2016-05-17 19:06:54,558A - Lala Land and Apple Trees,GNU C++11,Accepted,31 ms,2200 KB
17969875,2016-05-17 19:02:54,558A - Lala Land and Apple Trees,GNU C++11,Wrong answer on test 9,15 ms,2000 KB
17969593,2016-05-17 18:40:30,550A - Two Substrings,GNU C++11,Accepted,31 ms,2800 KB
17969435,2016-05-17 18:28:41,550A - Two Substrings,GNU C++11,Wrong answer on test 4,15 ms,2200 KB
17969369,2016-05-17 18:23:48,519C - A and B and Team Training,GNU C++11,Accepted,30 ms,2000 KB
17969337,2016-05-17 18:21:48,519C - A and B and Team Training,GNU C++11,Wrong answer on test 14,31 ms,2000 KB
17969280,2016-05-17 18:18:24,519C - A and B and Team Training,GNU C++11,Wrong answer on test 5,15 ms,2200 KB
17968921,2016-05-17 17:54:23,519C - A and B and Team Training,GNU C++11,Wrong answer on test 5,15 ms,2200 KB
17968912,2016-05-17 17:53:29,519C - A and B and Team Training,GNU C++11,Wrong answer on test 3,15 ms,2000 KB
17968738,2016-05-17 17:41:19,462A - Appleman and Easy Task,GNU C++11,Accepted,15 ms,2200 KB
17968626,2016-05-17 17:34:01,462A - Appleman and Easy Task,GNU C++11,Wrong answer on test 2,0 ms,2000 KB
17968611,2016-05-17 17:33:35,462A - Appleman and Easy Task,GNU C++11,Wrong answer on test 2,0 ms,2000 KB
17968513,2016-05-17 17:26:56,278A - Circle Line,GNU C++11,Accepted,60 ms,2200 KB
17968463,2016-05-17 17:23:35,651A - Joysticks,GNU C++11,Accepted,15 ms,2200 KB
17968437,2016-05-17 17:20:41,651A - Joysticks,GNU C++11,Wrong answer on test 7,15 ms,2000 KB
17968337,2016-05-17 17:12:43,472B - Design Tutorial: Learn from Life,GNU C++11,Accepted,15 ms,2200 KB
17968210,2016-05-17 17:04:52,368B - Sereja and Suffixes,GNU C++11,Accepted,623 ms,6000 KB
17967968,2016-05-17 16:49:53,369A - Valera and Plates,GNU C++11,Accepted,15 ms,2200 KB
17967858,2016-05-17 16:43:47,381A - Sereja and Dima,GNU C++11,Accepted,15 ms,2200 KB
17967704,2016-05-17 16:33:15,499A - Watching a movie,GNU C++11,Accepted,15 ms,2200 KB
17967173,2016-05-17 15:59:09,483A - Counterexample,GNU C++11,Accepted,15 ms,2200 KB
17966912,2016-05-17 15:43:29,352A - Jeff and Digits,GNU C++11,Accepted,62 ms,2200 KB
17966808,2016-05-17 15:37:23,545B - Equidistant String,GNU C++11,Accepted,46 ms,2700 KB
17966655,2016-05-17 15:26:38,404A - Valera and X,GNU C++11,Accepted,46 ms,2300 KB
17966643,2016-05-17 15:26:06,404A - Valera and X,GNU C++11,Wrong answer on test 7,15 ms,2000 KB
17966532,2016-05-17 15:19:41,489B - BerSU Ball,GNU C++11,Accepted,30 ms,2200 KB
17966496,2016-05-17 15:17:36,489B - BerSU Ball,GNU C++11,Wrong answer on test 20,15 ms,2200 KB
17966482,2016-05-17 15:16:42,489B - BerSU Ball,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
17964820,2016-05-17 13:32:44,545A - Toy Cars,GNU C++11,Accepted,30 ms,2200 KB
17964621,2016-05-17 13:18:23,535A - Tavas and Nafas,GNU C++11,Accepted,15 ms,2200 KB
17964492,2016-05-17 13:10:01,214A - System of Equations,GNU C++11,Accepted,62 ms,2200 KB
17964474,2016-05-17 13:08:56,401A - Vanya and Cards,GNU C++11,Accepted,15 ms,2200 KB
17964376,2016-05-17 13:02:47,214A - System of Equations,GNU C++11,Accepted,62 ms,2200 KB
17964286,2016-05-17 12:57:30,499B - Lecture,GNU C++11,Accepted,46 ms,2400 KB
17964280,2016-05-17 12:57:03,499B - Lecture,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
17964274,2016-05-17 12:56:26,499B - Lecture,GNU C++11,Wrong answer on test 1,15 ms,2000 KB
17962501,2016-05-17 10:55:53,535B - Tavas and SaDDas,GNU C++11,Accepted,15 ms,2200 KB
17962362,2016-05-17 10:44:17,630A - Again Twenty Five!,GNU C++11,Accepted,15 ms,2000 KB
17962294,2016-05-17 10:39:34,545D - Queue,GNU C++11,Accepted,46 ms,2400 KB
17962221,2016-05-17 10:32:56,507B - Amr and Pins,GNU C++11,Accepted,15 ms,2200 KB
