ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:3369
495316,2011-06-17 10:14:53,89A - Robbery,GNU C++,Wrong answer on test 12,10 ms,1400 KB
495308,2011-06-17 10:08:58,89A - Robbery,GNU C++,Wrong answer on test 9,30 ms,1400 KB
490739,2011-06-16 19:34:27,89A - Robbery,GNU C++,Hacked,10 ms,1400 KB
490391,2011-06-16 19:27:04,89A - Robbery,GNU C++,Wrong answer on pretest 3,10 ms,1400 KB
482133,2011-06-07 23:45:20,87C - Interesting Game,GNU C++,Accepted,250 ms,2100 KB
482124,2011-06-07 23:42:25,87C - Interesting Game,GNU C++,Accepted,250 ms,2100 KB
482093,2011-06-07 23:34:06,87C - Interesting Game,GNU C++,Wrong answer on test 7,30 ms,1300 KB
482085,2011-06-07 23:32:14,87C - Interesting Game,GNU C++,Wrong answer on test 2,10 ms,1300 KB
481980,2011-06-07 22:54:18,87B - Vasya and Types,GNU C++,Accepted,30 ms,1400 KB
481974,2011-06-07 22:52:23,87B - Vasya and Types,GNU C++,Wrong answer on test 11,30 ms,1400 KB
481825,2011-06-07 22:16:59,87A - Trains,GNU C++,Accepted,30 ms,1300 KB
481812,2011-06-07 22:14:01,87A - Trains,GNU C++,Wrong answer on test 18,30 ms,1300 KB
471591,2011-05-28 16:17:29,85B - Embassy Queue,GNU C++,Accepted,190 ms,3300 KB
471589,2011-05-28 16:16:13,85B - Embassy Queue,GNU C++,Runtime error on test 41,190 ms,4100 KB
471569,2011-05-28 15:39:08,85A - Domino,GNU C++,Accepted,30 ms,1400 KB
441472,2011-05-06 23:49:15,82B - Sets,GNU C++,Accepted,50 ms,1600 KB
439913,2011-05-06 20:45:37,82D - Two out of Three,GNU C++,Accepted,60 ms,13300 KB
439408,2011-05-06 20:34:20,82D - Two out of Three,GNU C++,Wrong answer on pretest 3,30 ms,13200 KB
436670,2011-05-06 19:39:35,82B - Sets,GNU C++,Hacked,10 ms,1400 KB
434876,2011-05-06 19:10:40,82A - Double Cola,GNU C++,Accepted,30 ms,1300 KB
434706,2011-05-06 19:08:35,82A - Double Cola,GNU C++,Wrong answer on pretest 5,10 ms,1300 KB
420508,2011-05-01 02:55:18,79C - Beaver,GNU C++,Accepted,110 ms,1900 KB
420499,2011-05-01 02:47:04,79C - Beaver,GNU C++,Wrong answer on test 8,10 ms,1400 KB
420475,2011-05-01 02:24:45,79C - Beaver,GNU C++,Wrong answer on test 4,30 ms,1400 KB
420446,2011-05-01 01:49:05,79C - Beaver,GNU C++,Wrong answer on test 4,30 ms,1400 KB
420385,2011-05-01 01:16:15,79B - Colorful Field,GNU C++,Accepted,50 ms,1400 KB
420363,2011-05-01 00:54:21,79A - Bus Game,GNU C++,Accepted,30 ms,1400 KB
420361,2011-05-01 00:53:51,79A - Bus Game,GNU C++,Wrong answer on test 2,10 ms,1400 KB
420356,2011-05-01 00:51:34,79A - Bus Game,GNU C++,Wrong answer on test 22,30 ms,1400 KB
412603,2011-04-27 20:58:59,78C - Beaver Game,GNU C++,Wrong answer on pretest 8,10 ms,1400 KB
412444,2011-04-27 20:55:14,78C - Beaver Game,GNU C++,Wrong answer on pretest 8,30 ms,1400 KB
412410,2011-04-27 20:54:28,78C - Beaver Game,GNU C++,Wrong answer on pretest 8,10 ms,1400 KB
412375,2011-04-27 20:53:22,78C - Beaver Game,GNU C++,Wrong answer on pretest 8,30 ms,1400 KB
412331,2011-04-27 20:51:25,78C - Beaver Game,GNU C++,Wrong answer on pretest 8,30 ms,1400 KB
412272,2011-04-27 20:49:20,78C - Beaver Game,GNU C++,Wrong answer on pretest 8,30 ms,1400 KB
412243,2011-04-27 20:48:21,78C - Beaver Game,GNU C++,Wrong answer on pretest 8,30 ms,1400 KB
411946,2011-04-27 20:35:34,78C - Beaver Game,GNU C++,Wrong answer on pretest 1,10 ms,1400 KB
411864,2011-04-27 20:32:20,78C - Beaver Game,GNU C++,Wrong answer on pretest 5,10 ms,1400 KB
411734,2011-04-27 20:25:00,78C - Beaver Game,GNU C++,Wrong answer on pretest 5,10 ms,1400 KB
411418,2011-04-27 20:11:32,78C - Beaver Game,GNU C++,Wrong answer on pretest 5,10 ms,1400 KB
411077,2011-04-27 19:58:33,78B - Easter Eggs,GNU C++,Accepted,30 ms,1400 KB
410290,2011-04-27 19:32:13,78B - Easter Eggs,GNU C++,Wrong answer on pretest 1,10 ms,1400 KB
410123,2011-04-27 19:28:10,78A - Haiku,GNU C++,Accepted,30 ms,1400 KB
403288,2011-04-20 12:44:22,80D - Falling Anvils,GNU C++,Accepted,50 ms,1300 KB
401497,2011-04-19 21:07:32,80D - Falling Anvils,GNU C++,Wrong answer on test 4,30 ms,1300 KB
400698,2011-04-19 20:43:49,80C - Heroes,GNU C++,Accepted,30 ms,1400 KB
400462,2011-04-19 20:37:27,80C - Heroes,GNU C++,Wrong answer on pretest 1,10 ms,1400 KB
400420,2011-04-19 20:36:31,80C - Heroes,GNU C++,Wrong answer on pretest 1,10 ms,1400 KB
397299,2011-04-19 19:29:59,80B - Depression,GNU C++,Accepted,30 ms,1400 KB
396823,2011-04-19 19:22:29,80A - Panoramix's Prediction,GNU C++,Accepted,30 ms,1300 KB
393019,2011-04-15 22:21:09,74A - Room Leader,GNU C++,Accepted,30 ms,1400 KB
386039,2011-04-13 20:56:48,75D - Big Maximum Sum,GNU C++,Accepted,910 ms,3300 KB
