ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:8607
19151598,2016-07-15 14:25:30,691D - Swaps in Permutation,GNU C++,Time limit exceeded on test 21,5000 ms,35600 KB
19151495,2016-07-15 14:21:14,691D - Swaps in Permutation,GNU C++,Time limit exceeded on test 21,5000 ms,50200 KB
19150491,2016-07-15 13:35:04,691D - Swaps in Permutation,GNU C++,Time limit exceeded on test 21,5000 ms,24300 KB
19149557,2016-07-15 12:43:10,691D - Swaps in Permutation,GNU C++,Time limit exceeded on test 21,5000 ms,11700 KB
19091047,2016-07-13 20:41:32,691D - Swaps in Permutation,GNU C++,Wrong answer on test 7,15 ms,7800 KB
19090987,2016-07-13 20:40:51,691D - Swaps in Permutation,GNU C++,Compilation error,0 ms,0 KB
19090158,2016-07-13 20:33:06,691D - Swaps in Permutation,GNU C++,Wrong answer on test 7,15 ms,7800 KB
19089362,2016-07-13 20:25:12,691D - Swaps in Permutation,GNU C++,Wrong answer on test 7,15 ms,7800 KB
19088741,2016-07-13 20:20:02,691D - Swaps in Permutation,GNU C++,Wrong answer on test 7,15 ms,7800 KB
19087854,2016-07-13 20:12:43,691D - Swaps in Permutation,GNU C++,Wrong answer on test 7,15 ms,7800 KB
19085251,2016-07-13 19:52:41,691D - Swaps in Permutation,GNU C++,Wrong answer on test 6,15 ms,19600 KB
19084671,2016-07-13 19:48:04,691D - Swaps in Permutation,GNU C++,Time limit exceeded on test 21,5000 ms,35800 KB
18935131,2016-07-06 21:33:42,689B - Mike and Shortcuts,GNU C++,Memory limit exceeded on pretest 8,264 ms,262100 KB
18934382,2016-07-06 21:27:45,689B - Mike and Shortcuts,GNU C++,Memory limit exceeded on pretest 8,77 ms,262100 KB
18925307,2016-07-06 20:06:33,689A - Mike and Cellphone,GNU C++,Accepted,30 ms,0 KB
18673413,2016-06-23 19:56:34,686B - Little Robber Girl's Zoo,GNU C++,Accepted,31 ms,0 KB
18671961,2016-06-23 19:51:04,686A - Free Ice Cream,GNU C++,Accepted,15 ms,0 KB
18670307,2016-06-23 19:45:27,686A - Free Ice Cream,GNU C++,Wrong answer on pretest 3,15 ms,0 KB
18571268,2016-06-18 07:41:12,682C - Alyona and the Tree,GNU C++,Wrong answer on test 2,15 ms,0 KB
18552973,2016-06-17 20:03:10,682B - Alyona and Mex,GNU C++,Accepted,62 ms,400 KB
18548011,2016-06-17 19:41:59,682A - Alyona and Numbers,GNU C++,Accepted,31 ms,0 KB
18475609,2016-06-14 21:26:01,681B - Economy Game,GNU C++,Wrong answer on pretest 3,30 ms,2000 KB
18475233,2016-06-14 21:23:07,681C - Heap Operations,GNU C++,Wrong answer on pretest 5,15 ms,2000 KB
18474518,2016-06-14 21:17:38,681B - Economy Game,GNU C++,Wrong answer on pretest 3,15 ms,2000 KB
18474289,2016-06-14 21:16:00,681B - Economy Game,GNU C++,Wrong answer on pretest 3,15 ms,2000 KB
