ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:1674
11027839,2015-05-07 20:22:56,543B - Destroying Roads,GNU C++11,Wrong answer on pretest 4,15 ms,35300 KB
11024435,2015-05-07 19:51:26,543A - Writing Code,GNU C++11,Accepted,1638 ms,7900 KB
11007803,2015-05-05 20:39:17,516C - Drazil and Park,GNU C++11,Accepted,717 ms,61800 KB
11007790,2015-05-05 20:37:16,516C - Drazil and Park,GNU C++11,Time limit exceeded on test 5,2000 ms,61100 KB
11007339,2015-05-05 19:42:05,516C - Drazil and Park,GNU C++11,Wrong answer on test 3,15 ms,61100 KB
11005731,2015-05-05 16:33:35,516C - Drazil and Park,GNU C++11,Wrong answer on test 3,0 ms,29000 KB
11005019,2015-05-05 15:17:30,516B - Drazil and Tiles,GNU C++11,Accepted,280 ms,66500 KB
11004966,2015-05-05 15:12:20,516B - Drazil and Tiles,GNU C++11,Time limit exceeded on test 27,2000 ms,3900 KB
11004938,2015-05-05 15:09:42,516B - Drazil and Tiles,GNU C++11,Wrong answer on test 19,218 ms,3900 KB
11004719,2015-05-05 14:42:54,516A - Drazil and Factorial,GNU C++11,Accepted,15 ms,0 KB
10999817,2015-05-04 20:48:49,528B - Clique Problem,GNU C++11,Accepted,295 ms,3100 KB
10999745,2015-05-04 20:41:16,528B - Clique Problem,GNU C++11,Wrong answer on test 3,0 ms,3100 KB
10999612,2015-05-04 20:21:58,528A - Glass Carving,GNU C++11,Accepted,1076 ms,12600 KB
10996619,2015-05-04 17:11:39,533F - Encoding,GNU C++11,Wrong answer on test 25,1778 ms,46600 KB
10996596,2015-05-04 17:08:59,533F - Encoding,GNU C++11,Wrong answer on test 25,171 ms,46600 KB
10996044,2015-05-04 16:03:45,533E - Correcting Mistakes,GNU C++11,Accepted,46 ms,200 KB
10995893,2015-05-04 15:47:38,533C - Board Game,GNU C++11,Accepted,30 ms,0 KB
10995649,2015-05-04 15:23:24,533B - Work Group,GNU C++11,Accepted,312 ms,32100 KB
10995592,2015-05-04 15:18:23,533B - Work Group,GNU C++11,Wrong answer on test 1,15 ms,5500 KB
10995430,2015-05-04 15:04:37,533B - Work Group,GNU C++11,Wrong answer on test 7,15 ms,3900 KB
10994847,2015-05-04 14:14:21,542D - Superhero's Job,GNU C++11,Wrong answer on test 16,15 ms,200 KB
10994806,2015-05-04 14:10:51,542D - Superhero's Job,GNU C++11,Wrong answer on test 10,15 ms,200 KB
10994788,2015-05-04 14:09:14,542D - Superhero's Job,GNU C++11,Wrong answer on test 3,15 ms,200 KB
10989363,2015-05-03 21:27:02,542D - Superhero's Job,GNU C++11,Wrong answer on pretest 3,15 ms,100 KB
10989294,2015-05-03 21:25:37,542D - Superhero's Job,GNU C++11,Wrong answer on pretest 3,15 ms,100 KB
10987289,2015-05-03 20:17:18,542F - Quest,GNU C++11,Accepted,30 ms,400 KB
10986682,2015-05-03 19:56:56,542C - Idempotent functions,GNU C++11,Accepted,31 ms,0 KB
10895463,2015-04-26 21:19:32,538F - A Heap of Heaps,GNU C++11,Accepted,763 ms,5200 KB
10894807,2015-04-26 21:13:06,538F - A Heap of Heaps,GNU C++11,Wrong answer on pretest 8,15 ms,5000 KB
10894652,2015-04-26 21:11:19,538F - A Heap of Heaps,GNU C++11,Compilation error,0 ms,0 KB
10893407,2015-04-26 20:58:43,538F - A Heap of Heaps,GNU C++11,Time limit exceeded on pretest 11,3000 ms,5200 KB
10888932,2015-04-26 20:19:28,538E - Demiurges Play Again,GNU C++11,Accepted,295 ms,12500 KB
10885580,2015-04-26 19:56:00,538D - Weird Chess,GNU C++11,Accepted,93 ms,2100 KB
10884777,2015-04-26 19:50:58,538D - Weird Chess,GNU C++11,Wrong answer on pretest 1,0 ms,2100 KB
10883817,2015-04-26 19:44:56,538D - Weird Chess,GNU C++11,Wrong answer on pretest 1,15 ms,2000 KB
10880503,2015-04-26 19:27:36,538C - Tourist's Notes,GNU C++11,Accepted,140 ms,2800 KB
10877902,2015-04-26 19:15:40,538B - Quasi Binary,GNU C++11,Accepted,15 ms,2000 KB
10875575,2015-04-26 19:06:46,538A - Cutting Banner,GNU C++11,Accepted,31 ms,2000 KB
10723120,2015-04-14 23:07:28,536C - Tavas and Pashmaks,GNU C++11,Wrong answer on test 3,124 ms,4500 KB
10720391,2015-04-14 21:33:22,536C - Tavas and Pashmaks,GNU C++11,Wrong answer on pretest 3,77 ms,3000 KB
10719777,2015-04-14 21:28:50,536C - Tavas and Pashmaks,GNU C++11,Wrong answer on pretest 3,61 ms,2900 KB
10719462,2015-04-14 21:25:49,536C - Tavas and Pashmaks,GNU C++11,Wrong answer on pretest 3,62 ms,2900 KB
10718140,2015-04-14 21:11:14,536B - Tavas and Malekas,GNU C++11,Accepted,202 ms,17600 KB
10717989,2015-04-14 21:09:10,536B - Tavas and Malekas,GNU C++11,Wrong answer on pretest 1,0 ms,17400 KB
10713909,2015-04-14 20:24:18,536A - Tavas and Karafs,GNU C++11,Accepted,545 ms,0 KB
10592085,2015-04-04 22:00:11,526D - Om Nom and Necklace,GNU C++11,Wrong answer on pretest 12,124 ms,9600 KB
10589045,2015-04-04 21:30:25,526D - Om Nom and Necklace,GNU C++11,Wrong answer on pretest 3,15 ms,9600 KB
10588368,2015-04-04 21:23:21,526D - Om Nom and Necklace,GNU C++11,Wrong answer on pretest 3,0 ms,5700 KB
10583012,2015-04-04 20:31:17,526C - Om Nom and Candies,GNU C++11,Accepted,30 ms,2000 KB
10578433,2015-04-04 19:53:35,526B - Om Nom and Dark Park,GNU C++11,Accepted,15 ms,0 KB
10576884,2015-04-04 19:44:16,526A - King of Thieves,GNU C++11,Accepted,30 ms,0 KB
10576695,2015-04-04 19:43:26,526A - King of Thieves,GNU C++11,Compilation error,0 ms,0 KB
10555332,2015-04-03 00:21:11,436B - Om Nom and Spiders,GNU C++11,Accepted,62 ms,19400 KB
10554478,2015-04-02 22:19:31,436A - Feed with Candy,GNU C++11,Accepted,31 ms,100 KB
10554464,2015-04-02 22:17:51,436A - Feed with Candy,GNU C++11,Wrong answer on test 8,15 ms,0 KB
10554340,2015-04-02 22:03:12,436A - Feed with Candy,GNU C++11,Accepted,30 ms,100 KB
