ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:1412
12365858,2015-08-05 20:07:36,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,62 ms,1100 KB
12365395,2015-08-05 20:04:08,567D - One-Dimensional Battle Ships,GNU C++11,Wrong answer on pretest 5,15 ms,1100 KB
12362095,2015-08-05 19:41:54,567C - Geometric Progression,GNU C++11,Wrong answer on test 61,420 ms,33200 KB
12358907,2015-08-05 19:25:11,567B - Berland National Library,GNU C++11,Accepted,31 ms,4400 KB
12354283,2015-08-05 19:07:11,567A - Lineland Mail,GNU C++11,Accepted,62 ms,400 KB
12353716,2015-08-05 19:04:56,567A - Lineland Mail,GNU C++11,Wrong answer on pretest 6,15 ms,400 KB
10727153,2015-04-15 09:34:01,536B - Tavas and Malekas,GNU C++11,Accepted,1793 ms,11700 KB
10719726,2015-04-14 21:28:21,536B - Tavas and Malekas,GNU C++11,Wrong answer on test 32,124 ms,16200 KB
10592706,2015-04-04 22:04:48,526D - Om Nom and Necklace,GNU C++11,Wrong answer on pretest 3,15 ms,5400 KB
10591450,2015-04-04 21:55:01,526D - Om Nom and Necklace,GNU C++11,Wrong answer on pretest 3,0 ms,5400 KB
10590962,2015-04-04 21:50:33,526D - Om Nom and Necklace,GNU C++11,Wrong answer on pretest 3,15 ms,5400 KB
10585011,2015-04-04 20:49:32,526C - Om Nom and Candies,GNU C++11,Wrong answer on test 58,717 ms,0 KB
10580908,2015-04-04 20:13:07,526B - Om Nom and Dark Park,GNU C++11,Accepted,15 ms,100 KB
10578501,2015-04-04 19:54:04,526A - King of Thieves,GNU C++11,Accepted,31 ms,0 KB
10575422,2015-04-04 19:28:23,519A - A and B and Chess,GNU C++,Wrong answer on test 1,15 ms,23500 KB
10575404,2015-04-04 19:26:37,519A - A and B and Chess,GNU C++,Wrong answer on test 1,0 ms,23500 KB
10485124,2015-03-27 12:32:33,525E - Anya and Cubes,GNU C++11,Accepted,685 ms,4000 KB
10485012,2015-03-27 12:21:25,525E - Anya and Cubes,GNU C++11,Accepted,670 ms,4000 KB
10472575,2015-03-26 21:03:54,525C - Ilya and Sticks,GNU C++11,Accepted,46 ms,1000 KB
10462746,2015-03-26 19:51:53,525A - Vitaliy and Pie,GNU C++11,Accepted,30 ms,200 KB
10462356,2015-03-26 19:49:49,525B - Pasha and String,GNU C++11,Accepted,202 ms,2200 KB
10454991,2015-03-26 11:03:45,529E - The Art of Dealing with ATM,GNU C++11,Accepted,93 ms,3000 KB
10454990,2015-03-26 11:03:30,529E - The Art of Dealing with ATM,GNU C,Compilation error,0 ms,0 KB
10323663,2015-03-17 21:14:19,528A - Glass Carving,GNU C++0x,Accepted,265 ms,6700 KB
9664114,2015-02-01 13:27:35,471D - MUH and Cube Walls,GNU C++0x,Accepted,717 ms,21500 KB
9664051,2015-02-01 13:17:14,471D - MUH and Cube Walls,GNU C++0x,Wrong answer on test 25,717 ms,30200 KB
9664004,2015-02-01 13:08:25,471D - MUH and Cube Walls,GNU C++0x,Wrong answer on test 4,327 ms,21500 KB
9663911,2015-02-01 12:57:48,471D - MUH and Cube Walls,GNU C++0x,Runtime error on test 2,0 ms,17400 KB
9663829,2015-02-01 12:46:36,471D - MUH and Cube Walls,GNU C++0x,Runtime error on test 2,15 ms,17400 KB
9663643,2015-02-01 12:24:58,471D - MUH and Cube Walls,GNU C++0x,Wrong answer on test 25,717 ms,30200 KB
9663622,2015-02-01 12:21:59,471D - MUH and Cube Walls,GNU C++0x,Wrong answer on test 25,702 ms,30200 KB
9663604,2015-02-01 12:20:03,471D - MUH and Cube Walls,GNU C++0x,Wrong answer on test 25,702 ms,30200 KB
